"metric","value"
"n_2021_pool36_raw","433"
"n_2021_clean","346"
"n_2021_complete","346"
"k_items_2021","26"
"kmo_2021_overall","0.798"
"bartlett_2021_chisq","2991.1"
"bartlett_2021_p","0"
"parallel_2021_nfact","5"
"var_2021_4f_pct","39.2"
"alpha_2021_Procedurální","0.716"
"alpha_2021_Rovnost","0.707"
"alpha_2021_Potřeby","0.693"
"alpha_2021_Zásluhy","0.758"
"psych_version","2.6.5"
