"principle","estimate","se","z","p"
"Chance",-1.202,0.147,-8.17,3.02e-16
"Need",-1.517,0.148,-10.27,9.77e-25
"Merit",-1.838,0.148,-12.42,2.1e-35
"Equal opportunity",-3.743,0.166,-22.5,3.95e-112
"Caste",-4.177,0.17,-24.51,1.23e-132
