"","ECV_SS","ECV_SG","ECV_GS","Omega","OmegaH","H","FD"
"g",0.476,0.476,0.476,0.895,0.632,0.901,0.911
"procedural",0.273,0.087,0.727,0.836,0.214,0.573,0.734
"equality",0.678,0.171,0.322,0.833,0.592,0.81,0.899
"needs",0.703,0.121,0.297,0.701,0.519,0.686,0.829
"merit",0.562,0.145,0.438,0.856,0.464,0.734,0.857
