"model","chisq","df","cfi","tli","rmsea","rmsea_lo","rmsea_hi","srmr"
"oneF",2164.308,299,0.519,0.477,0.139,0.132,0.146,0.136
"fourF",912.571,293,0.812,0.792,0.088,0.08,0.095,0.086
"HO",1060.501,295,0.797,0.776,0.091,0.083,0.098,0.095
"bifac",840.813,273,0.848,0.82,0.082,0.074,0.09,0.08
"esem",417.486,227,0.916,0.879,0.067,0.057,0.076,0.04
