"metric","value"
"n_total","315"
"scale_min","1"
"scale_max","7"
"hierarchy_top","Equality"
"hierarchy_top_mean","5.5"
"hierarchy_bottom","Caste"
"hierarchy_bottom_mean","2"
"mean_v_rovnost","5.5"
"sd_v_rovnost","1.38"
"mean_v_nahoda","4.5"
"sd_v_nahoda","1.7"
"mean_v_potreby","4.22"
"sd_v_potreby","1.65"
"mean_v_zasluhy","3.93"
"sd_v_zasluhy","1.52"
"mean_v_rovne_prilezitosti","2.36"
"sd_v_rovne_prilezitosti","1.43"
"mean_v_kasty","2"
"sd_v_kasty","1.15"
"friedman_chisq","704.62"
"friedman_df","5"
"friedman_p","4.91e-150"
"kendall_w","0.447"
"kendall_w_mag","moderate"
"posthoc_n_pairs","15"
"posthoc_n_sig_holm","15"
"posthoc_n_nonsig_holm","0"
"clmm_all_below_ref_neg","TRUE"
"clmm_all_sig","TRUE"
"clmm_reproduces_mean_order","TRUE"
"cluster_k","2"
"cluster_sil_ward","0.093"
"cluster_jaccard_min","0.476"
"cluster_jaccard_mean","0.546"
"need_rule_accuracy","0.86"
"need_bimodality","0.47"
"axis_bimodality","0.36"
"lpa_best_classes_bic","2"
"lpa_agrees_with_cluster_k","TRUE"
"demo_n_with_sex","204"
"demo_n_with_age","206"
