"character","alpha"
"focus",0.806
"comparative",0.611
"temporal",0.609
"structure",0.366
"currency",0.819
"need_sensitive",0.686
"desert_sensitive",0.843
"equal_shares_default",0.371
"remedial",0.814
"punishment",1
"repair",0.885
"voice",0.255
"interpersonal_treatment",1
"transparency_info",1
"level",0.658
"scope",0.302
