"wave","procedural","equality","needs","merit"
"2021",0.815,0.657,0.737,0.849
"2022",0.817,0.621,0.692,0.886
"2023",0.839,0.803,0.753,0.866
"2024",0.877,0.853,0.72,0.86
"2026",0.886,0.844,0.735,0.897
