"model","cfi","rmsea","srmr","dCFI"
"configural",0.84,0.062,0.074,NA
"metric",0.836,0.061,0.08,0.004
"scalar",0.834,0.06,0.08,0.002
"strict",0.827,0.06,0.084,0.007
