"version","style","scale","n_items","data"
"2019 (A)","3rd-person descriptive","—","21","wording only"
"2020 (B)","3rd-person normative","agreement","23","n=375"
"2021 (C-pool)","1st-person","agreement","36->26","n=433/346"
"2022 (C)","1st-person","agreement","26","n=263"
"2023-2026 (C-final)","1st-person","fairness","26","n=744"
