"metric","value"
"tier1_ordinal_note","full ordinal multigroup infeasible (empty low categories); MLR primary + per-wave ordinal configural + NCT"
"empty_cat_items_affected","18"
"empty_cat_location","bottom (categories 1-3)"
"empty_cells_per_wave","2023=27; 2024=22; 2026=30"
"inv_cfi_configural","0.84"
"inv_dCFI_metric","0.004"
"inv_dCFI_scalar","0.002"
"inv_dCFI_strict","0.007"
"metric_holds","TRUE"
"scalar_holds","TRUE"
"scalar_vcov_min_eigenvalue","-6.69e-16"
"perwave_ordinal_cfi_min","0.751"
"latent_mean_max_abs_std","0.328"
"latent_mean_n_sig","1"
"n_2021_aligned","433"
"n_2022","263"
"tier2_recode","2022 item_16 reverse-recoded 8-x; item_16/22 old wording"
"congruence_2021_min","0.65"
"congruence_2021_mean","0.86"
"congruence_2022_min","0.86"
"congruence_2022_mean","0.89"
"congruence_all_above_.85","FALSE"
"congruence_all_above_.95","FALSE"
"ega_2021_ndim","4"
"ari_2021_apriori","1"
"ega_2022_ndim","3"
"ari_2022_apriori","0.508"
"edge_spearman_2021_vs_2023","0.493"
"edge_spearman_2022_vs_2023","0.577"
"congruence_2022_min_no1622","0.87"
"omega_traj_min","0.621"
"omega_traj_max","0.897"
"n_2020","375"
"framework","three-tier: T1{2023,2024,2026} invariance+means; T2{2021,2022} structure only; T3{2020} configural EFA+EGA on author-confirmed links"
"tier3_status","DONE: 6 pairings author-confirmed 2026-07-11; configural EFA+EGA on 12 aligned items"
"n_2020_complete","375"
"tier3_n_items","12"
"tier3_items_per_principle","Potřeby=3, Procedurální=4, Rovnost=3, Zásluhy=2"
"congruence_2020_min","0.82"
"congruence_2020_mean","0.897"
"ega_2020_ndim","3"
"ari_2020_apriori","0.658"
"congruence_2020_by_factor","MR3=0.820; MR2=0.940; MR4=0.930; MR1=0.900"
