"node_i","node_j","wto"
"item_15","item_16",0.288
"item_12","item_13",0.283
"item_10","item_14",0.262
"item_19","item_21",0.235
"item_04","item_09",0.218
"item_01","item_02",0.217
"item_07","item_08",0.214
"item_20","item_21",0.213
"item_23","item_24",0.21
