resp_id,pool_01,pool_02,pool_03,pool_04,pool_05,pool_06,pool_07,pool_08,pool_09,pool_10,pool_11,pool_12,pool_13,pool_14,pool_15,pool_16,pool_17,pool_18,pool_19,pool_20,pool_21,pool_22,pool_23,pool_24,pool_25,pool_26,pool_27,pool_28,pool_29,pool_30,pool_31,pool_32,pool_33,pool_34,pool_35,pool_36
w2021_298,7,6,7,4,5,5,3,4,3,2,5,4,5,5,7,3,6,6,4,5,6,6,6,4,5,5,5,6,6,7,6,5,6,6,5,4
w2021_299,7,6,7,5,5,5,6,7,6,3,5,3,5,6,5,5,6,5,5,6,6,6,7,4,4,7,5,5,5,7,6,5,7,7,7,7
w2021_300,6,6,5,5,3,5,6,7,4,3,6,3,6,6,3,5,6,3,2,6,6,6,5,6,4,7,6,6,6,5,6,3,7,5,5,6
w2021_301,5,7,7,5,3,3,6,7,7,2,7,4,5,5,6,7,6,3,4,5,6,6,7,6,6,5,6,6,6,7,5,4,7,5,4,7
w2021_302,7,7,7,4,5,5,7,7,5,2,5,5,6,6,6,3,7,5,7,6,7,6,7,7,6,7,5,6,6,7,6,6,6,5,7,7
w2021_303,7,7,6,5,3,4,7,7,7,2,6,3,4,6,6,6,6,3,2,6,6,6,7,4,5,7,5,6,5,6,6,6,6,4,5,6
w2021_304,7,5,7,4,4,5,6,6,6,3,5,2,6,6,6,5,4,3,4,6,6,6,7,6,5,5,5,7,5,7,6,5,7,6,5,6
w2021_305,6,6,7,4,5,4,6,5,7,3,7,4,6,5,5,3,6,4,5,6,6,6,6,6,6,7,6,7,5,7,7,6,7,6,7,6
w2021_306,6,6,7,5,4,5,6,7,6,4,6,5,5,5,5,4,6,4,5,5,5,5,6,6,5,7,5,7,5,5,6,6,7,5,6,5
w2021_307,7,7,7,7,6,4,5,7,7,6,7,4,5,6,7,6,5,4,4,6,6,5,7,7,4,7,4,5,5,7,6,6,7,7,5,7
w2021_308,6,5,7,5,4,5,4,6,7,5,6,2,4,6,6,5,6,4,4,6,5,6,5,7,6,6,3,6,6,7,7,5,7,6,7,5
w2021_309,7,7,7,5,7,4,7,7,7,4,6,4,7,7,5,5,4,1,6,7,4,7,7,7,4,6,1,7,5,7,7,4,5,5,5,7
w2021_310,7,7,7,4,5,5,6,5,6,5,6,5,5,6,5,6,6,2,6,6,6,7,7,7,3,7,5,7,7,7,5,5,7,6,7,7
w2021_311,7,7,7,7,6,6,6,5,7,4,6,2,5,6,6,3,5,5,5,6,6,6,6,6,4,6,6,6,6,6,6,5,7,5,6,7
w2021_312,7,4,7,6,3,4,4,6,7,3,6,5,4,3,6,6,7,6,4,5,4,5,5,7,6,7,1,7,7,7,5,4,7,7,7,7
w2021_313,7,7,6,7,4,6,5,5,6,5,6,5,2,7,5,5,7,6,6,6,7,7,7,7,6,6,7,4,4,7,7,6,7,6,7,7
w2021_314,6,6,6,6,7,6,5,7,7,6,5,4,5,6,3,6,6,6,6,6,6,6,4,6,3,6,4,5,6,6,6,5,6,6,6,7
w2021_315,5,6,7,4,2,5,5,7,7,1,4,6,6,6,6,7,5,6,2,7,7,6,4,6,1,3,7,6,7,7,7,7,7,7,3,7
w2021_316,7,6,7,2,6,6,6,7,7,5,6,6,6,6,5,3,6,6,4,7,6,6,4,7,7,7,5,7,7,6,6,6,7,6,6,7
w2021_317,6,7,7,7,4,4,7,7,7,2,7,4,6,7,7,7,5,3,4,5,6,6,7,6,6,7,6,7,6,7,6,5,7,7,7,7
w2021_318,5,4,6,3,5,5,3,6,6,2,6,3,6,6,4,6,4,5,3,5,6,5,5,6,3,6,5,5,5,6,6,6,6,5,5,6
w2021_319,6,5,6,3,4,4,6,6,6,4,5,5,5,5,6,5,5,4,5,5,5,4,4,6,4,6,3,6,5,5,4,3,6,5,6,4
w2021_320,6,7,7,6,6,7,6,6,7,7,7,7,7,6,6,6,6,5,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,5,6
w2021_321,7,7,7,6,5,5,6,7,6,5,5,2,6,6,6,6,7,6,5,6,6,7,6,7,6,6,7,6,4,6,6,6,6,7,6,7
w2021_322,7,7,7,7,6,4,5,7,7,4,5,3,4,6,6,4,6,5,4,7,7,6,4,5,5,5,4,6,7,7,6,6,7,6,6,7
w2021_323,6,5,6,4,5,4,5,6,6,3,6,4,5,5,5,4,6,5,5,6,6,5,6,6,5,6,4,7,7,6,6,5,7,6,5,5
w2021_324,5,5,6,4,6,6,6,6,5,5,5,6,4,4,4,2,5,6,5,5,5,5,4,5,5,6,4,6,6,6,5,5,6,6,6,3
w2021_325,7,7,7,6,7,5,7,7,7,7,6,2,5,7,6,7,7,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
w2021_326,7,7,7,5,3,5,6,7,7,1,7,1,6,7,6,6,5,4,6,6,6,5,5,6,5,6,4,6,7,6,6,5,6,5,5,7
w2021_327,6,7,7,3,7,5,6,6,7,3,6,1,6,6,4,4,6,4,5,7,7,7,7,7,4,5,5,7,7,5,7,7,7,6,6,5
w2021_328,6,6,6,2,3,4,4,7,6,5,4,3,4,6,3,7,6,4,3,6,4,3,7,6,2,6,2,5,6,7,7,2,5,6,6,4
w2021_329,6,4,6,3,7,5,4,6,5,4,3,5,5,5,3,3,5,5,5,5,4,5,4,5,5,6,4,4,6,5,5,4,6,6,5,4
w2021_330,6,5,7,6,7,6,5,6,6,5,6,4,5,5,6,6,7,4,6,5,5,4,6,7,4,7,6,5,6,7,6,6,7,7,1,6
w2021_331,6,6,6,6,7,5,5,7,6,3,5,2,4,6,5,6,6,6,5,6,3,5,5,6,5,5,3,6,5,5,5,5,7,4,5,6
w2021_332,7,7,6,7,6,5,5,7,7,4,6,3,5,6,7,6,6,2,5,7,6,6,7,5,6,7,5,7,6,7,6,5,7,6,7,6
w2021_333,6,6,7,6,5,5,5,6,6,3,5,2,6,6,6,6,6,5,5,6,7,6,7,6,6,5,5,3,6,7,6,6,6,6,5,6
w2021_334,6,7,7,6,7,7,6,6,7,6,5,5,4,5,6,4,6,4,5,4,5,6,6,7,6,7,1,6,6,6,6,5,7,7,7,6
w2021_335,7,7,6,5,7,5,6,7,7,4,3,6,5,6,5,7,7,6,4,6,6,6,7,6,3,7,3,7,7,4,6,4,7,6,7,7
w2021_336,7,5,7,5,6,4,6,7,7,4,6,5,3,4,6,5,7,4,4,5,5,6,5,4,3,6,5,6,7,5,6,6,7,4,6,7
w2021_337,7,7,7,7,2,2,4,7,7,2,7,2,6,7,6,4,6,6,2,7,7,5,6,7,6,7,6,7,6,7,7,7,7,7,7,7
w2021_338,7,6,6,4,4,5,6,6,7,4,5,4,6,5,6,6,6,4,5,5,6,5,5,6,6,7,4,7,6,7,5,5,7,6,7,7
w2021_339,7,7,7,5,5,5,4,7,7,5,5,4,6,7,5,7,5,5,4,6,6,6,6,6,4,6,6,6,4,6,7,7,4,6,6,6
w2021_340,6,6,6,4,6,6,5,7,7,5,7,5,6,6,5,6,7,4,6,6,6,7,4,7,6,6,3,7,6,6,6,5,6,7,7,6
w2021_341,7,7,7,4,6,7,4,6,6,5,4,5,4,4,4,4,5,6,5,3,6,6,3,7,3,7,3,4,6,7,4,5,7,6,7,6
w2021_342,7,6,7,7,6,4,4,4,5,6,4,6,6,7,3,6,7,3,7,7,7,7,3,4,4,7,3,7,7,7,7,7,6,7,7,6
w2021_343,6,6,5,3,4,5,5,4,4,2,3,3,4,5,3,3,5,5,4,5,6,6,6,5,4,5,4,3,5,5,5,5,5,6,6,3
w2021_344,7,6,7,6,4,3,5,6,7,3,4,4,4,6,7,7,6,1,6,7,5,6,7,6,5,7,5,7,6,7,6,5,7,5,6,7
w2021_345,6,6,7,6,5,3,3,7,6,3,6,3,4,7,5,7,7,6,7,7,7,7,7,4,3,6,5,3,6,7,7,4,7,7,7,6
w2021_346,6,6,6,3,6,4,4,5,6,4,3,4,2,5,4,5,6,5,6,5,5,5,3,7,6,6,4,5,4,6,7,6,7,5,4,4
w2021_347,6,5,7,6,6,6,4,7,5,5,6,5,4,4,5,6,6,3,5,5,5,5,6,5,5,7,5,7,7,6,6,6,7,7,7,6
w2021_348,6,6,7,6,7,6,5,7,6,4,5,4,6,6,5,5,5,2,3,3,6,7,4,5,6,7,5,6,6,6,6,6,6,7,7,7
w2021_349,6,6,7,5,5,5,6,6,6,3,6,3,5,5,6,5,6,5,4,5,5,5,7,6,5,7,5,6,6,7,6,6,6,6,6,6
w2021_350,6,6,7,3,3,4,5,5,6,1,6,2,5,5,5,4,3,2,3,5,6,3,6,5,2,6,3,5,5,5,3,2,7,3,6,6
w2021_351,7,7,6,5,3,5,6,7,7,3,4,6,6,7,3,3,5,5,3,6,5,6,3,7,6,5,3,7,7,5,6,4,6,7,5,7
w2021_352,7,6,7,4,3,4,6,7,6,2,5,3,5,2,6,7,5,3,5,5,6,5,7,5,4,6,4,6,5,7,6,3,6,4,7,6
w2021_353,7,6,7,5,4,5,7,7,5,3,6,3,6,6,5,5,6,3,3,6,6,6,7,7,4,6,5,7,7,6,7,6,7,6,6,6
w2021_354,6,6,7,6,4,5,3,4,6,3,5,2,4,5,7,5,5,5,3,4,6,6,6,5,4,7,4,6,6,5,5,3,6,5,7,6
w2021_355,5,5,7,7,5,6,4,5,6,4,6,4,4,6,6,5,7,5,4,6,7,6,7,6,6,6,6,5,6,7,6,6,6,7,7,4
w2021_356,7,7,7,7,5,6,5,7,7,2,5,4,5,5,5,6,7,3,6,5,5,4,6,4,3,7,2,6,6,7,6,5,7,5,5,6
w2021_357,7,7,7,5,7,3,7,7,7,4,6,2,7,7,7,4,7,2,6,7,7,7,7,7,7,6,6,7,7,7,6,4,7,7,6,7
w2021_358,7,7,7,5,6,4,7,7,7,2,7,4,7,7,7,7,5,2,3,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,6,7
w2021_359,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,7,7
w2021_360,6,7,7,5,3,4,5,7,7,4,4,5,4,6,4,6,5,2,3,6,5,7,7,7,5,6,4,6,5,7,6,4,7,7,4,7
w2021_361,7,5,7,4,2,1,4,6,7,1,6,2,5,6,5,7,5,2,5,5,6,5,5,5,4,5,5,7,6,6,6,5,6,6,6,6
w2021_362,6,5,5,4,4,4,3,7,6,2,4,5,6,5,4,5,5,5,5,6,6,6,5,6,4,6,4,5,5,7,5,5,6,3,5,6
w2021_363,6,6,7,7,6,5,5,5,6,4,6,4,6,6,6,6,5,3,5,6,5,5,5,5,5,6,4,6,5,5,6,5,6,5,6,6
w2021_364,6,7,7,5,5,5,3,6,6,2,5,2,6,6,5,5,5,6,5,5,5,5,6,5,6,7,4,5,6,7,6,5,7,6,7,7
w2021_365,5,7,7,7,7,5,6,7,7,2,7,5,5,6,7,7,5,2,6,6,6,5,5,5,5,5,5,6,5,7,5,4,7,5,5,6
w2021_366,6,4,7,7,6,6,6,7,7,5,6,2,6,6,5,4,7,6,7,6,6,6,7,7,6,7,5,7,6,6,6,6,7,7,7,7
w2021_367,5,5,6,4,5,5,6,6,6,2,6,5,5,4,6,5,5,4,5,6,6,6,7,6,6,6,3,5,5,6,6,4,6,4,6,5
w2021_368,7,7,7,6,4,5,7,7,7,1,6,6,6,7,7,7,5,3,4,7,7,7,7,6,5,6,6,7,6,7,7,4,7,5,4,6
w2021_369,6,5,7,3,3,5,4,7,7,3,6,2,3,7,6,6,4,2,1,6,7,7,5,7,5,7,6,7,6,7,6,4,7,5,7,7
w2021_370,6,5,7,5,4,5,5,7,7,2,4,3,6,6,4,3,5,4,5,6,6,6,7,6,4,6,2,5,5,6,5,5,7,6,5,6
w2021_371,7,7,7,7,5,4,6,7,7,4,7,5,6,7,7,3,5,6,7,7,7,5,7,7,7,7,7,7,7,7,7,4,7,7,7,7
w2021_372,6,5,6,4,4,5,4,6,6,3,4,5,6,6,5,3,6,4,5,6,7,7,7,6,3,4,5,5,6,6,7,7,6,5,5,6
w2021_373,7,6,7,3,5,5,5,7,7,2,6,4,5,6,6,6,5,5,5,6,5,6,7,6,6,7,3,6,7,7,6,6,7,5,4,5
w2021_374,6,6,7,3,5,6,5,6,6,2,6,5,5,6,3,6,6,2,6,6,6,6,6,5,5,6,5,6,5,6,6,5,6,5,6,6
